Start_Date,End_Date,Look_Ahead_Return,Cumulative_Return,AUTO_weight,BANK_weight,CHEMICALS_weight,CONSUMER DURABLES_weight,FINANCIAL SERVICES_weight,FMCG_weight,HEALTHCARE_weight,IT_weight,MEDIA_weight,METAL_weight,OIL & GAS_weight,PHARMA_weight,PRIVATE BANK_weight,PSU BANK_weight,REALTY_weight
2013-01-02,2014-01-01,-0.015020149425829965,-0.015020149425829965,0.020000014850149427,0.020000022971545007,0.020000044548530854,0.31304435577329437,0.020000064414572968,0.3399998429526668,0.020000073524645643,0.02000002489489492,0.020000028601727914,0.020000012829879846,0.020000021005019117,0.02000025375907283,0.10695498363444499,0.020000042708541655,0.020000012573299576
2014-01-02,2015-01-09,0.43506590936226486,0.41351100496772997,0.02000001582250595,0.02000002449647588,0.020000045931529226,0.3130443577988209,0.0200000652303109,0.339999844983849,0.02000007446140467,0.020000025394646997,0.020000029268635932,0.02000001408942915,0.020000020955598965,0.020000254141872037,0.10695498404370019,0.020000042293092452,0.020000013794765997
2015-01-12,2016-01-13,-0.0002157933501890641,0.4132059786924358,0.020000020327426024,0.020000031072085832,0.020000052443505494,0.3130443652745803,0.020000072375712222,0.33999985304696717,0.020000079340065167,0.020000038784024118,0.02000004104533413,0.020000029642622957,0.02000003638627449,0.020000262041430777,0.10695499669150442,0.020000055215669242,0.02000002910097213
2016-01-14,2017-01-17,0.11497854956782749,0.575694352363074,0.020000020436599278,0.020000031884987814,0.020000053281515547,0.31304436794632595,0.020000073186050998,0.3399998558046896,0.02000007972692379,0.020000040633400114,0.020000042552883245,0.02000003111461616,0.020000038072769948,0.020000265470866124,0.10695500086310077,0.02000005680295555,0.020000030475546975
2017-01-18,2018-01-18,0.45821470864086633,1.2977006809381773,0.02000001981284595,0.020000031723587334,0.02000005331186588,0.313044369295303,0.02000007308588592,0.3399998571904269,0.020000079358121692,0.020000040795782482,0.020000042722873108,0.0200000309932898,0.0200000381864256,0.020000267257945112,0.10695500291801831,0.020000057138095398,0.020000030284987577
2018-01-19,2019-01-24,-0.0163717871166168,1.2600832145321474,0.02000001985099062,0.020000031855225385,0.02000005349377105,0.313044369736886,0.020000073242622374,0.33999985763780133,0.020000079452726322,0.02000004100906351,0.02000004294333827,0.020000031130774816,0.020000038384852644,0.02000026787649356,0.10695500354154684,0.02000005740959141,0.02000003040873049
2019-01-25,2020-01-31,0.09139556722527331,1.466644801900633,0.020000019860709754,0.020000031887135974,0.020000053579470357,0.31304436998303026,0.020000073300125452,0.3399998578825553,0.020000079492967445,0.020000041075620242,0.02000004301473574,0.02000003115944664,0.020000038442541956,0.020000268111143776,0.10695500378969382,0.020000057492956788,0.02000003043466569
2020-02-01,2021-02-01,0.1750950085189571,1.8985419945026685,0.02000001991992179,0.020000031870466877,0.020000053578881485,0.3130443700877321,0.02000007331865701,0.3399998579852367,0.020000079510475617,0.02000004105884792,0.020000042998840697,0.020000031141350395,0.020000038423438525,0.02000026808589642,0.10695500389382283,0.020000057497032403,0.020000030422005544
2021-02-02,2022-02-03,0.24941253320546197,2.6214746959539883,0.020000019911978147,0.020000031867358735,0.020000053579097322,0.31304437011436764,0.020000073320329863,0.339999858007837,0.02000007950344186,0.0200000410601442,0.02000004300110553,0.020000031134404708,0.020000038422772735,0.020000268118796936,0.10695500393029321,0.02000005750314593,0.020000030413241613
2022-02-04,2023-02-06,0.03726300509549674,2.756421726002537,0.02000001990224197,0.020000031861760866,0.020000053575520635,0.31304437013291986,0.020000073318178938,0.33999985802317817,0.020000079494127864,0.02000004105801491,0.02000004299975779,0.0200000311252415,0.020000038418946497,0.02000026814208807,0.10695500395756215,0.020000057504901116,0.020000030402724522
2023-02-07,2024-02-09,0.24328907413223644,3.6703180897719125,0.0200000198941154,0.020000031856514274,0.020000053571135087,0.3130443701474822,0.020000073315418036,0.339999858036166,0.020000079485434818,0.020000041055544433,0.02000004299794187,0.020000031116823108,0.020000038414899203,0.020000268160868914,0.10695500398025852,0.020000057505770975,0.020000030393240747
